"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.88456847360874,0.959,0.252,0,"1","APOE"
0,2.65096679589104,0.885,0.188,0,"1","SELENOP"
0,3.63487314983211,0.932,0.263,0,"1","APOC1"
0,3.06984801703605,0.808,0.158,0,"1","SLC40A1"
0,2.26409004633882,0.844,0.237,0,"1","DAB2"
0,2.71893623847614,0.775,0.171,0,"1","FOLR2"
0,2.78702468878888,0.894,0.307,0,"1","PLD3"
0,2.62551895208499,0.971,0.394,0,"1","C1QC"
0,2.41095390140055,0.7,0.151,0,"1","SLCO2B1"
0,2.54070900132783,0.964,0.436,0,"1","C1QB"
0,2.33692866942688,0.835,0.311,0,"1","MS4A4A"
0,4.01369486148703,0.655,0.141,0,"1","RNASE1"
0,2.32782063480367,0.927,0.416,0,"1","LGMN"
0,2.51568788135616,0.68,0.17,0,"1","GPNMB"
0,2.13518301395361,0.744,0.234,0,"1","A2M"
0,2.44495588675635,0.968,0.47,0,"1","C1QA"
0,1.90808824218364,0.876,0.381,0,"1","CREG1"
0,2.27687099801911,0.783,0.292,0,"1","LIPA"
0,1.23556574231676,0.623,0.166,0,"1","PLTP"
0,2.48818784514392,0.565,0.112,0,"1","MERTK"
0,2.55801248372194,0.57,0.119,0,"1","KCNMA1"
0,1.05009710468735,0.766,0.32,0,"1","CCL3"
0,2.73834578537192,0.602,0.162,0,"1","PDK4"
0,2.55065245060313,0.569,0.129,0,"1","GPR34"
0,1.4204801388605,0.887,0.449,0,"1","CTSL"
0,3.12695780122364,0.495,0.061,0,"1","CXCL12"
0,1.74035631192074,0.671,0.239,0,"1","SLC1A3"
0,1.84731933851306,0.778,0.352,0,"1","CPM"
0,2.87951623951906,0.647,0.221,0,"1","CCL4L2"
0,1.29598679227357,0.723,0.302,0,"1","FCGR3A"
0,3.0811771904374,0.476,0.057,0,"1","IGF1"
0,1.89386498428754,0.621,0.203,0,"1","TSPAN4"
0,1.51871701349402,0.762,0.347,0,"1","TMEM176B"
0,2.7851012839042,0.486,0.073,0,"1","LILRB5"
0,2.62359757990027,0.511,0.1,0,"1","C2"
0,1.69664452071945,0.682,0.275,0,"1","CCL4"
0,2.21925418245103,0.956,0.549,0,"1","CTSD"
0,1.99856014855772,0.565,0.159,0,"1","FCHO2"
0,1.66864385909699,0.898,0.497,0,"1","CTSC"
0,1.91605559287016,0.898,0.502,0,"1","BLVRB"
0,1.89143438850538,0.627,0.234,0,"1","MCOLN1"
0,1.94657058794949,0.579,0.186,0,"1","SERPING1"
0,4.73703733924807,0.421,0.033,0,"1","VCAM1"
0,2.13809769017971,0.542,0.154,0,"1","CD59"
0,1.7070797642831,0.634,0.247,0,"1","BLVRA"
0,1.72391154194908,0.597,0.211,0,"1","CD84"
0,2.10528538002201,0.546,0.162,0,"1","PLA2G7"
0,2.97047637678939,0.448,0.072,0,"1","SDC3"
0,1.44821241523995,0.615,0.249,0,"1","ADAP2"
0,1.29662935299135,0.58,0.217,0,"1","CCL3L1"
0,2.96302332310212,0.426,0.068,0,"1","FUCA1"
0,2.00394392116481,0.621,0.27,0,"1","MMP19"
0,1.98975894762017,0.484,0.134,0,"1","AP2A2"
0,1.83762358915169,0.598,0.25,0,"1","EGR1"
0,2.14157385522653,0.556,0.217,0,"1","ACP5"
0,1.52427468684899,0.431,0.099,0,"1","MAF"
0,1.71598987136163,0.929,0.603,0,"1","MS4A7"
0,1.77210701462103,0.427,0.101,0,"1","NRP1"
0,2.06173129872638,0.436,0.112,0,"1","NPL"
0,1.51215181152698,0.812,0.498,0,"1","IGSF6"
0,1.42585843194995,0.87,0.557,0,"1","CD163"
0,2.42755609909888,0.396,0.086,0,"1","VAT1"
0,2.94126769508466,0.353,0.05,0,"1","IGSF21"
0,3.21516259594761,0.345,0.044,0,"1","OTOA"
0,2.59000171206529,0.339,0.063,0,"1","GFRA2"
0,6.66814223695228,0.287,0.011,0,"1","CD5L"
0,3.00095751992393,0.298,0.038,0,"1","TMEM37"
0,3.54956287708934,0.286,0.035,0,"1","CCL18"
0,1.4158623913539,0.981,0.741,0,"1","CD68"
0,1.00655746414609,0.943,0.732,0,"1","GLUL"
0,1.45112520969958,0.946,0.74,0,"1","FCGRT"
0,1.22096227400965,0.96,0.768,0,"1","CD63"
0,1.39833824869675,0.991,0.835,0,"1","CTSB"
0,1.05420038816211,0.988,0.86,0,"1","NPC2"
0,0.938926326606901,0.992,0.933,0,"1","ITM2B"
0,0.903871308795594,0.989,0.956,0,"1","PSAP"
0,1.25060583705225,1,0.997,0,"1","FTL"
0,0.733989158093104,1,0.999,0,"1","B2M"
3.46834083380555e-321,0.995353489433422,0.916,0.682,8.36321025255532e-317,"1","ASAH1"
4.24380236961016e-314,1.47235208455982,0.627,0.261,1.0233080653841e-309,"1","TMEM176A"
