"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues","status"
"VCAM",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CD23",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CD70",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CD80",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"XCR",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CD46",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"MK",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"GDF",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CD137",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"GRN",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"PVR",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"NOTCH",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"SN",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"DESMOSOME",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"NEGR",0,0,"PR",Inf,0,"DEGENERATE (Inf ratio)"
"CDH",7.3267317765377e-10,0.0475413483417341,"PR",0,0,"DEGENERATE (zero ratio)"
"SEMA6",4.88743486910109e-07,0.0688163610925713,"PR",0,0,"DEGENERATE (zero ratio)"
"VEGI",2.59073339421382e-06,0.077738919624807,"PR",0,0,"DEGENERATE (zero ratio)"
"ANXA1",2.44895904722991e-05,0.0941862376045604,"PR",0,0,"DEGENERATE (zero ratio)"
"LCK",0.00333052132922401,0.175296316408101,"PR",0,0,"DEGENERATE (zero ratio)"
"ICAM",0.000643647967831126,0.136084811911905,"PR",1,1.10449827778036e-06,"NEAR-NULL (ratio=1)"
"APP",0.00320636619045677,0.174136634585062,"PR",1,1.55678944609598e-06,"NEAR-NULL (ratio=1)"
"MIF",0.055017167655569,0.344814506648002,"PR",1,7.65425579703369e-05,"NEAR-NULL (ratio=1)"
"CCL",0.00151156444345868,0.153973831097334,"PR",1,0.00153440546546335,"NEAR-NULL (ratio=1)"
"CLEC",0.0418202571957942,0.315022698329182,"PR",1,0.380838952958584,"NEAR-NULL (ratio=1)"
"ICOS",4.45463876527931e-05,0.0998105646130543,"PR",1,0.454833984375,"NEAR-NULL (ratio=1)"
"NECTIN",6.93690755419009e-05,0.104426979334871,"PR",1,0.927278518676758,"NEAR-NULL (ratio=1)"
"CD99",0.0414850349475519,0.314226031764615,"PR",0.9,0.0692424236805984,"NOT SIGNIFICANT"
"CD86",0.000352333049579312,0.125771392643009,"PR",3,0.0737757682800293,"NOT SIGNIFICANT"
"MPZ",1.28881094157213e-06,0.0737365762187287,"PR",0.6,0.122545685726385,"NOT SIGNIFICANT"
"APRIL",5.82065352033046e-06,0.082959338712401,"PR",0.2,0.144687652587891,"NOT SIGNIFICANT"
"CXCL",0.000840615189615173,0.141215481303373,"PR",2,0.162287008166373,"NOT SIGNIFICANT"
"THBS",0.000249012054011065,0.120510832117942,"PR",0.6,0.180783784714819,"NOT SIGNIFICANT"
"CD226",3.40979886094168e-07,0.0671526623636611,"PR",3,0.21875,"NOT SIGNIFICANT"
"SEMA4",6.05603017934296e-05,0.102966771650446,"PR",0.02,0.2734375,"NOT SIGNIFICANT"
"FLT3",5.11142651871443e-06,0.0820746364991561,"PR",7,0.46875,"NOT SIGNIFICANT"
"TIGIT",3.66371555446551e-05,0.0979005457665704,"PR",2,0.5771484375,"NOT SIGNIFICANT"
"ALCAM",0.000573204441740928,0.133971607779773,"PR",0.5,0.580859622190474,"NOT SIGNIFICANT"
"CD6",0.000573204441740928,0.133971607779773,"PR",0.5,0.580859622190474,"NOT SIGNIFICANT"
"CD96",3.23909401111516e-05,0.0967339540913768,"PR",0.2,0.625,"NOT SIGNIFICANT"
"IFN-II",0.000308476162821195,0.1237031887689,"PR",2,0.670180588960648,"NOT SIGNIFICANT"
"CADM",3.80582419345031e-07,0.0676518440519095,"PR",6,0.853923299287067,"NOT SIGNIFICANT"
"ADGRE5",0.0127567223991463,0.229268567504822,"PR",4,1,"NOT SIGNIFICANT"
"PECAM1",2.94531107206582e-07,0.0664987298334066,"PR",80,3.94588533312208e-18,"REAL, GRADED, SIGNIFICANT"
"IL16",2.41808424544634e-05,0.0940738208553856,"PR",6,1.26863470893715e-11,"REAL, GRADED, SIGNIFICANT"
"GALECTIN",0.00453883926494206,0.185353927002202,"PR",4,6.16025910822765e-11,"REAL, GRADED, SIGNIFICANT"
"ITGB2",0.00075511129279357,0.139108266258884,"PR",2,9.10502645175025e-10,"REAL, GRADED, SIGNIFICANT"
"SEMA7",3.77495148894816e-07,0.0676145865731269,"PR",30,6.77573552820832e-09,"REAL, GRADED, SIGNIFICANT"
"LIGHT",7.93539348488134e-06,0.0851485759699467,"PR",300,2.30083969654516e-08,"REAL, GRADED, SIGNIFICANT"
"VISFATIN",0.000516116990817033,0.132114758034192,"PR",2,3.55432584207402e-08,"REAL, GRADED, SIGNIFICANT"
"COMPLEMENT",6.81942052809749e-06,0.0840637347087603,"PR",8,1.19209289550781e-07,"REAL, GRADED, SIGNIFICANT"
"IL1",2.62841787973993e-05,0.0948177962442873,"PR",9,9.5367431640625e-07,"REAL, GRADED, SIGNIFICANT"
"BTLA",6.0188534529414e-07,0.0698168062419966,"PR",20,1.25914812088013e-06,"REAL, GRADED, SIGNIFICANT"
"MHC-II",0.00804168947953881,0.207334839690309,"PR",3,1.67984839043667e-06,"REAL, GRADED, SIGNIFICANT"
"JAM",2.69571876150285e-06,0.0779797281083869,"PR",6,7.36265491326985e-06,"REAL, GRADED, SIGNIFICANT"
"ANNEXIN",0.000399531011640185,0.127791947844742,"PR",6,7.57726339014016e-06,"REAL, GRADED, SIGNIFICANT"
"TWEAK",4.36656481223372e-07,0.068286798106517,"PR",20,9.5367431640625e-06,"REAL, GRADED, SIGNIFICANT"
"GAS",1.92640670139751e-06,0.0759886843853936,"PR",6,3.06244473904372e-05,"REAL, GRADED, SIGNIFICANT"
"SELPLG",0.000357053810183973,0.125982282935076,"PR",2,3.71180217057286e-05,"REAL, GRADED, SIGNIFICANT"
"SPP1",2.95027402564983e-05,0.0958678336084639,"PR",30,7.19801737432135e-05,"REAL, GRADED, SIGNIFICANT"
"TGFb",0.000169036719477623,0.115135816738147,"PR",2,8.60783021654781e-05,"REAL, GRADED, SIGNIFICANT"
"TNF",0.00198682841023194,0.16074028810217,"PR",2,0.000206719189746914,"REAL, GRADED, SIGNIFICANT"
"VEGF",1.94833889291429e-06,0.076054109588862,"PR",6,0.000819258159026505,"REAL, GRADED, SIGNIFICANT"
"CD45",0.00121604030489549,0.148983440903732,"PR",2,0.00132821477642273,"REAL, GRADED, SIGNIFICANT"
"BAFF",2.24049153854111e-05,0.0934035587313523,"PR",3,0.00191831588745117,"REAL, GRADED, SIGNIFICANT"
"CALCR",3.33053694531825e-06,0.0792871952880382,"PR",3,0.00296679139137268,"REAL, GRADED, SIGNIFICANT"
"CD39",9.00045586438307e-07,0.0718348466248271,"PR",3,0.0056031495332718,"REAL, GRADED, SIGNIFICANT"
"IL10",4.92694645853866e-06,0.0818277629024697,"PR",2,0.01806640625,"REAL, GRADED, SIGNIFICANT"
"MHC-I",0.343999116723718,0.937105078200337,"PR",0.3,0.0230380577759927,"REAL, GRADED, SIGNIFICANT"
"FN1",7.94204494499402e-06,0.0851546510546514,"PR",40,0.0271958112716675,"REAL, GRADED, SIGNIFICANT"
