"gene","stat"
"GATD3A",7.5660365209962
"IGLV3-19",5.51210648685014
"OASL",5.15242633232456
"IGHV3-72",4.95117864321924
"IL9R",4.78770123651206
"KRT5",4.74102204327089
"TRBV28",4.59210848591276
"TRBV7-9",4.4458333532269
"ITGA1",4.37869241020173
"TRBV18",4.2769660489534
"TRBV9",4.00370682180568
"LINC01115",3.99720454240952
"TRBV6-6",3.98404718963154
"CD3G",3.78172361251249
"LRRC2",3.77265596505094
"TRAC",3.747054378478
"GNG4",3.7380770355112
"APOBEC3C",3.7194043590998
"IGLV7-43",3.71192584930968
"IGKV2D-30",3.68613050343005
"TMTC4",3.66065089308427
"TRBV12-2",3.63586488060897
"MCM6",3.62094966783848
"GGA2",3.56732333860019
"IGHV3-7",3.55252105206587
"TSPAN2",3.54247293709929
"LINC01943",3.53060835806245
"ASF1A",3.51192818237281
"ITM2A",3.50544190557316
"OSBPL7",3.46700866298287
"IGKV4-1",3.4549174775608
"N4BP1",3.45377280246148
"SLA2",3.44554901312699
"ITPRIPL1",3.37934045295637
"ZBTB32",3.36309129474516
"PPP1R14B",3.33789115240012
"IGHV1-18",3.33601494199552
"TRBV4-1",3.32596352913684
"NECTIN3",3.31996996178307
"IGKV1-6",3.31920215150353
"GCC2",3.30221818725136
"AL445471.1",3.28661450631353
"HSPB8",3.26802022128914
"CDCA7",3.24646851523622
"MXRA7",3.22858268148062
"AC022126.1",3.18443275169885
"GPR25",3.17808814974588
"KIF3A",3.16520708101495
"CCDC134",3.162349663575
"CD2",3.13833572193334
"AC117453.1",3.10418644942688
"GFI1",3.09973318164997
"ZBED2",3.09921043355986
"PHEX",3.07662863958055
"CTSW",3.04200301817517
"PWP2",3.03775557585447
"STAT5A",3.03430712465893
"CLEC2D",3.02960443942529
"ITM2C",3.01919194727784
"CD6",3.01465718350399
"AL359220.1",2.99749841099355
"VPS33B",2.98439717014594
"GRAP2",2.98314163989046
"LINC00158",2.96834101095258
"MXD4",2.96755365690414
"F2R",2.9620581874886
"PSMB8-AS1",2.95799397396151
"SMC3",2.9561417499005
"ARL3",2.93466234384715
"FMO3",2.93443124917719
"PRG4",2.91903727833697
"PMEPA1",2.91493623974784
"CCP110",2.90477077348332
"FAM102A",2.90470902231518
"RBPJ",2.90373695805897
"CHST12",2.88744179558423
"TRBV7-4",2.8864148217039
"IGHV6-1",2.88342303355233
"ERFL",2.87039174153417
"SNCG",2.86599173135534
"ZNF260",2.85980255767209
"SCUBE1",2.85562416356234
"IGHV4-4",2.85287084670721
"TRAT1",2.84213487742071
"TMEM155",2.82470478532723
"ATP8B4",2.81750621600792
"E4F1",2.8173175567082
"FAM160B1",2.81549235653363
"APOBEC3G",2.81302165809057
"C12orf75",2.80489468722508
"IGHV3-73",2.7982986020379
"ZBTB49",2.79393888954857
"TRIM21",2.78786084152287
"IGHV3-43",2.78415164528473
"TRAV12-3",2.78132073572529
"HNRNPLL",2.77921588335016
"AC103702.2",2.76834159691267
"SLC27A2",2.76714437587457
"ITGAE",2.76195987511119
"IGKV3D-20",2.76148069970825
"UBASH3A",2.74826917576232
"CDK6",2.74583238091163
"FAM104A",2.74514422768662
"TRAV14DV4",2.74321315101159
"NBL1",2.73174124047623
"GOLGA8A",2.71086152567134
"CRP",2.70766929661129
"KLHL36",2.70624003568106
"PHGDH",2.69753213907953
"TTPAL",2.69301581832703
"IGKV2-30",2.69235958221925
"IGHV4-34",2.69128579570001
"CD82",2.67062833325192
"MAP3K14",2.66616453980539
"RNF25",2.65922592196013
"SMIM5",2.65549359622028
"CCL21",2.65230550246365
"ZNF766",2.648457793676
"LINC02384",2.64747664147751
"KIF23",2.64612109030779
"C7",2.64510288000293
"SPARCL1",2.63976713031447
"RPP38",2.63460920706144
"CENPF",2.63276572859352
