"gene","drug","approved","score","interaction_types","sources"
"FLT3","DANUSERTIB",FALSE,0.0787678415078612,"","CKB-CORE"
"FLT3","MELK INHIBITOR OTS167",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","FLT3/ABL/AURORA KINASE INHIBITOR KW-2449",FALSE,0.472607049047167,"","CIViC"
"FLT3","EP-0042",FALSE,0.0787678415078612,"inhibitor","GuideToPharmacology"
"FLT3","MERESTINIB",FALSE,0.0262559471692871,"inhibitor","GuideToPharmacology"
"FLT3","NINGETINIB",FALSE,0.0472607049047167,"inhibitor","ChEMBL"
"FLT3","NEMTABRUTINIB",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","ALTIRATINIB",FALSE,0.0675152927210239,"","CKB-CORE"
"FLT3","AZACITIDINE",TRUE,0.0531682930178063,"inhibitor","MyCancerGenomeClinicalTrial; CKB-CORE; CGI"
"FLT3","DAUNORUBICIN LIPOSOMAL",TRUE,0.029537940565448,"","CKB-CORE; CIViC"
"FLT3","BELIZATINIB",FALSE,0.0236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","G&OUML; 6976",FALSE,0.0102740662836341,"inhibitor","GuideToPharmacology; DTC"
"FLT3","LESTAURTINIB",FALSE,0.730392712163804,"inhibitor; inhibitor","ChEMBL; MyCancerGenome; DoCM; GuideToPharmacology; CGI; TdgClinicalTrial; CKB-CORE; CIViC"
"FLT3","ENMD-2076",FALSE,0.0472607049047167,"inhibitor; inhibitor","CKB-CORE; TdgClinicalTrial; ChEMBL; GuideToPharmacology"
"FLT3","QUIZARTINIB",TRUE,1.14516323422967,"inhibitor; inhibitor","GuideToPharmacology; CIViC; ChEMBL; TdgClinicalTrial; COSMIC; DoCM; PharmGKB; CKB-CORE; OncoKB; MyCancerGenome; CGI"
"FLT3","GILTERITINIB",TRUE,0.516913959895339,"inhibitor; inhibitor","PharmGKB; GuideToPharmacology; ChEMBL; CIViC; CKB-CORE; FDA; OncoKB"
"FLT3","E6201",FALSE,0.0675152927210239,"","CKB-CORE"
"FLT3","PD166285",FALSE,0.00437599119488118,"","DTC"
"FLT3","MITOXANTRONE",TRUE,0.0127731634877613,"","CKB-CORE"
"FLT3","AMG553",FALSE,0.236303524523584,"binder","ChEMBL"
"FLT3","BMS-690514",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","ITACNOSERTIB",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","SUNITINIB",TRUE,0.118151762261792,"inhibitor; inhibitor","ChEMBL; CIViC; COSMIC; GuideToPharmacology; MyCancerGenome; TEND; TALC; CKB-CORE; TdgClinicalTrial; MyCancerGenomeClinicalTrial"
"FLT3","VENETOCLAX",TRUE,0.118151762261792,"","CKB-CORE; CGI; FDA; PharmGKB"
"FLT3","SEMAXANIB",FALSE,0.063014273206289,"","CKB-CORE; NCI"
"FLT3","DENFIVONTINIB HYDROCHLORIDE",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","DOVITINIB",FALSE,0.0129837101386584,"inhibitor; inhibitor","DTC; GuideToPharmacology; ChEMBL; CKB-CORE"
"FLT3","TYROSINE KINASE INHIBITOR",FALSE,0.0272657912911827,"","NCI"
"FLT3","TAMNORZATINIB",FALSE,0.157535683015722,"","CKB-CORE"
"FLT3","EVEROLIMUS",TRUE,0.0135030585442048,"","CKB-CORE"
