"pathway","pval","padj","log2err","ES","NES","size"
"HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN",4.97506378170891e-67,2.5397700605624e-63,2.13926542818634,-0.771135856757934,-3.76017752749563,219
"HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP",3.04059936626182e-52,7.7611298823833e-49,1.88726445046568,-0.640775924136265,-3.2792803309312,331
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",2.35211704505277e-49,4.0025191716648e-46,1.83158063515779,-0.732338874805023,-3.48649018461724,194
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",1.98455573570301e-43,2.53278925769097e-40,1.71479697260989,-0.705923279937193,-3.3707965656114,197
"GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",3.41483558639506e-43,3.48654713370936e-40,1.71479697260989,-0.70769345392921,-3.36866842766688,193
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN",1.2570920402665e-42,1.06957581092674e-39,1.7026781142338,-0.702792902592146,-3.34381209981864,195
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",1.85615670757418e-41,1.35366857030946e-38,1.67817787124255,-0.708713805566951,-3.34453068309845,181
"FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN",5.15988996307061e-40,3.29265478268443e-37,1.64704014100292,-0.649356052587035,-3.21386598661947,248
"GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN",5.93155871720388e-39,3.36451191681398e-36,1.62169955075295,-0.684703331692471,-3.2694709248532,197
"GSE11057_CD4_CENT_MEM_VS_PBMC_DN",7.83436648529124e-38,3.99944409074118e-35,1.60243114923556,-0.689177697848851,-3.26192160996588,183
"GSE10325_CD4_TCELL_VS_MYELOID_DN",2.23244079056915e-37,1.03605547598686e-34,1.58945578468201,-0.686376017959258,-3.25355929589257,186
"GSE11057_CD4_EFF_MEM_VS_PBMC_DN",2.81718871315286e-37,1.19847903172045e-34,1.58945578468201,-0.683597753427472,-3.24011161952199,185
"GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN",5.06204559002495e-37,1.98782636439057e-34,1.5829282179456,-0.674676498296796,-3.21003730992048,195
"GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN",9.36788012900114e-37,3.41593057561077e-34,1.57637362160047,-0.668775429854492,-3.19517164854171,198
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE",5.74308993857831e-35,1.95456494242948e-32,1.53645895003215,-0.535166053851503,-2.79020353524652,407
"GSE10325_BCELL_VS_MYELOID_DN",1.70793082460324e-34,5.4493667872497e-32,1.52970525162309,-0.663460423582002,-3.15857635622102,194
