"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.36797937211683e-13,1.68398968605842e-11,0.932595211336209,-0.491906054392919,-2.34214291292729,195
"HALLMARK_G2M_CHECKPOINT",1.33411007853233e-11,3.33527519633083e-10,0.875325132024659,0.470052813502489,2.27122119786976,191
"HALLMARK_INFLAMMATORY_RESPONSE",3.24114663303564e-11,5.4019110550594e-10,0.851339057116899,-0.482402026029495,-2.26353518305131,177
"HALLMARK_E2F_TARGETS",2.36110201650611e-07,2.95137752063264e-06,0.690132458796796,0.397111008629428,1.92532079729012,198
"HALLMARK_COMPLEMENT",5.98014984912535e-07,5.98014984912535e-06,0.659444398037935,-0.402513006001946,-1.8978654794834,184
"HALLMARK_HYPOXIA",1.08784691329878e-06,9.06539094415654e-06,0.643551836150722,-0.401417251053792,-1.87722528828344,173
"HALLMARK_KRAS_SIGNALING_UP",8.9751535189129e-06,6.41082394208065e-05,0.593325476396405,-0.387540745972768,-1.79320284052721,166
"HALLMARK_IL2_STAT5_SIGNALING",1.37437448133242e-05,8.58984050832761e-05,0.593325476396405,-0.375418756138724,-1.77600797228553,188
"HALLMARK_ADIPOGENESIS",1.88651438656257e-05,0.000104806354809032,0.575610261071129,-0.373845044152713,-1.76667562346594,186
"HALLMARK_XENOBIOTIC_METABOLISM",8.99576855504278e-05,0.000449788427752139,0.538434096309916,-0.368570330811672,-1.70611938659763,164
"HALLMARK_COAGULATION",0.00010875707333303,0.000494350333331955,0.538434096309916,-0.397736184061206,-1.75891973963881,114
"HALLMARK_MITOTIC_SPINDLE",0.00015948422683415,0.000664517611808959,0.518848077743792,0.340803066812959,1.64775430742901,195
"HALLMARK_UV_RESPONSE_UP",0.000445401138379529,0.00171308130145973,0.49849310876659,-0.351546070919,-1.59672700456102,142
"HALLMARK_P53_PATHWAY",0.00140697493780492,0.00502491049216044,0.45505986738723,-0.326383770204129,-1.5423883765034,186
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0042590720643981,0.014196906881327,0.407017918923954,-0.327852937572382,-1.50627272873892,157
"HALLMARK_FATTY_ACID_METABOLISM",0.00495026036103354,0.0154695636282298,0.407017918923954,-0.331359502584526,-1.49018278993947,133
"HALLMARK_ALLOGRAFT_REJECTION",0.00712213555249471,0.0209474575073374,0.407017918923954,-0.297737442854424,-1.403844363579,184
"HALLMARK_APICAL_JUNCTION",0.0142156979093458,0.0377133189821335,0.380730400722792,-0.311183354522969,-1.42931794725693,149
"HALLMARK_GLYCOLYSIS",0.0143310612132107,0.0377133189821335,0.380730400722792,-0.297372318086017,-1.38740213918963,172
"HALLMARK_MYOGENESIS",0.0484496124031008,0.121124031007752,0.287857117255149,-0.297513115238439,-1.33671452756091,128
"HALLMARK_KRAS_SIGNALING_DN",0.0526315789473684,0.12531328320802,0.276500599254472,-0.314160710199496,-1.35019519737559,93
"HALLMARK_ANDROGEN_RESPONSE",0.058252427184466,0.126635711270578,0.261663521711573,-0.314500169264582,-1.3452127764447,90
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0575815738963532,0.126635711270578,0.261663521711573,-0.340104517051515,-1.37785948930685,68
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0632183908045977,0.131704980842912,0.248911114434702,-0.263260766772519,-1.25568942287959,193
"HALLMARK_DNA_REPAIR",0.0756646216768916,0.151329243353783,0.234392647294686,0.269770636103544,1.25262439989719,146
"HALLMARK_BILE_ACID_METABOLISM",0.0882352941176471,0.157563025210084,0.211400189384923,-0.304494462752967,-1.29387670069185,88
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0831683168316832,0.157563025210084,0.219250346703755,-0.267903278298427,-1.23214942300975,156
"HALLMARK_MTORC1_SIGNALING",0.0882352941176471,0.157563025210084,0.211400189384923,-0.252962920599661,-1.20101124094116,196
"HALLMARK_ANGIOGENESIS",0.0972222222222222,0.167310167310167,0.20207170902116,-0.423517927956016,-1.37616038259053,27
"HALLMARK_NOTCH_SIGNALING",0.1003861003861,0.167310167310167,0.195789002148949,-0.403100090029179,-1.35342926261992,30
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.1364522417154,0.22008426083129,0.166933848713193,-0.293400914744327,-1.2235365583681,80
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.181818181818182,0.284090909090909,0.143758989039275,-0.344222313032285,-1.21507468048547,38
"HALLMARK_APOPTOSIS",0.218992248062016,0.312846068660022,0.128142916898415,-0.241275089910168,-1.11340186956333,154
"HALLMARK_HEME_METABOLISM",0.217131474103586,0.312846068660022,0.130777137971974,-0.240672010075124,-1.11036072413584,163
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.210309278350515,0.312846068660022,0.135740943810425,0.251459974141087,1.11473658506885,108
"HALLMARK_PANCREAS_BETA_CELLS",0.270058708414873,0.375081539465101,0.114266502484433,-0.42216406826088,-1.1784056109453,15
"HALLMARK_HEDGEHOG_SIGNALING",0.294,0.397297297297297,0.110122263835536,-0.340440291940312,-1.11355674033781,28
"HALLMARK_MYC_TARGETS_V1",0.37319587628866,0.478456251652128,0.0972150808846466,0.211842404054641,1.02424029525746,195
"HALLMARK_PEROXISOME",0.365570599613153,0.478456251652128,0.0946646223153342,-0.240939663329937,-1.03303097620702,91
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.429400386847195,0.536750483558994,0.0855356947987884,-0.212469340208077,-1.01074413938515,200
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.451942740286299,0.538027071769403,0.0857844408075645,0.212745091330118,0.9878380249516,146
"HALLMARK_TGF_BETA_SIGNALING",0.448940269749518,0.538027071769403,0.0828962134571565,-0.263896612480248,-1.00144193682024,51
"HALLMARK_APICAL_SURFACE",0.491395793499044,0.571390457557028,0.0776798560117236,-0.279138092488777,-0.963584014478497,33
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.568665377176016,0.646210655881836,0.0707899094502623,-0.251053110942633,-0.939427579705571,48
"HALLMARK_PROTEIN_SECRETION",0.588114754098361,0.653460837887067,0.072003313661988,0.215907354139045,0.939316760130232,94
"HALLMARK_SPERMATOGENESIS",0.649606299212598,0.706093803491955,0.0650877566917313,-0.218006170802905,-0.903244023084103,78
"HALLMARK_MYC_TARGETS_V2",0.828920570264766,0.881830393898687,0.0551351763385257,0.200561528059341,0.796952670938866,57
"HALLMARK_UV_RESPONSE_DN",0.851546391752577,0.887027491408935,0.0544555953940371,0.184134263696395,0.837247983431285,126
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.934426229508197,0.953496152559384,0.0498907356726307,0.17316010325428,0.754427068301309,95
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.979633401221996,0.979633401221996,0.0474483193656297,0.161893877804099,0.706206154058809,97
