"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGKV2-24",4315.66733127808,7.59355175131737,0.455521011176849,16.6700362112809,2.16463373124307e-62,3.47813347936136e-58
"IGHV3-48",5229.18497778873,5.06194318207613,0.642782410757475,7.87504931273863,3.40608491210793e-15,2.73644861838751e-11
"VCAN",722.509180424245,3.2874362999845,0.421423446300936,7.80079117296422,6.15202440557597e-15,3.29502427162649e-11
"S100A9",2560.14844337962,3.05149667091089,0.407367166928166,7.49077716282663,6.84669771163093e-14,2.75031847076215e-10
"JUNB",41594.8930947015,2.13537628415393,0.324138469635018,6.58785205766653,4.46234946126716e-11,1.23692028998855e-07
"IGKV1D-33",430.34026697965,7.00354477447562,1.06392681062009,6.58273172982055,4.61882109779146e-11,1.23692028998855e-07
"SMIM25",328.834876633331,2.7177093713074,0.43914071296033,6.18869827164695,6.06630716967365e-10,1.39247748003309e-06
"IGKV1-5",13522.6245314806,5.45592706736002,0.888970073960962,6.13735740625124,8.39054739462317e-10,1.53140519196775e-06
"FBP1",704.65054561483,1.93177622295164,0.314936945431804,6.13385076273925,8.57769898413603e-10,1.53140519196775e-06
"APOBEC3A",290.835047581079,2.14327005905098,0.351991090404139,6.08898951558742,1.13625559239768e-09,1.82573548586459e-06
"S100A12",178.216949957601,3.60677620953031,0.595020676049733,6.06159811701879,1.3477563012588e-09,1.96870438623876e-06
"OSM",590.614684218666,1.97962774398245,0.334758924230046,5.9135921425714,3.34726133523966e-09,4.48198292788591e-06
"IGHA2",541.109304334475,3.76289839177296,0.655024363601504,5.74466936021054,9.21007730916824e-09,1.1256751281588e-05
"S100A8",1647.65013877321,4.04702919111847,0.705793073929985,5.73401658446983,9.80797348408216e-09,1.1256751281588e-05
"MT1H",111.652453648274,3.72581287468542,0.657728923329052,5.66466327165218,1.47313535124306e-08,1.57802258825157e-05
"ID1",1122.50220361852,1.84179015918698,0.325955693730892,5.65043100829389,1.60046033076846e-08,1.60726228717423e-05
"SLC11A1",745.590276092858,3.53284075174616,0.629885971235248,5.60869889643362,2.03853330514347e-08,1.92677371453207e-05
"COL1A2",51.7436614249401,-5.28197732337218,0.956064660115134,-5.52470721251855,3.30035517431121e-08,2.94611705226848e-05
"ERFL",106.275417240489,-2.3500152466828,0.436545106295597,-5.38321289780199,7.31679110971114e-08,6.18769471320203e-05
"CD14",1101.46426737998,2.72631092851882,0.509717255245542,5.34867301521017,8.86014512330624e-08,6.90871310759012e-05
"LRRN3",103.913057344129,-2.69602164448612,0.504377236763944,-5.34524845289142,9.02931138034556e-08,6.90871310759012e-05
"IGKV3D-15",2893.34196609897,5.10425211380304,0.958961017404204,5.32268989162839,1.02243962248454e-07,7.46752720640072e-05
"MT2A",36225.7012278128,2.6128808028242,0.501627200519533,5.20881004881325,1.90055556854073e-07,0.000132774464675271
"SLC19A2",572.122198489255,1.69701329547326,0.327172375132284,5.18690887269169,2.13813287518066e-07,0.000143147995993345
"RALA",3143.4977555854,-1.40499372445369,0.276003583483629,-5.09049087957593,3.57137750843059e-07,0.000229539575221851
"BTG2",11610.1859491193,1.49974996669722,0.299983403788218,4.99944312838057,5.74961274824443e-07,0.000355326067841506
"ITGB8",217.702769555414,-3.27122581182806,0.667593901597623,-4.90002350830299,9.58251888128573e-07,0.000570266345868515
"FCN1",1218.21289957472,2.86530204300232,0.593778690823043,4.82553868518032,1.39625358471402e-06,0.000793591790395707
"IGHV4-61",4694.73060107208,3.66501192604604,0.761296306039677,4.81417274321443,1.47810909705771e-06,0.000793591790395707
