"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GATD3A",106.979463302036,3.21758612634158,0.425267062538304,7.5660365209962,3.84783914740357e-14,5.71481070172378e-10
"CD14",479.856932075648,-2.06797389251028,0.345269110035287,-5.98945527533273,2.10545018804565e-09,1.35463099329926e-05
"FCGR3A",1028.39692662856,-1.6781760008399,0.28220357821717,-5.94668576295818,2.73625974945985e-09,1.35463099329926e-05
"HCAR3",178.109821404031,-1.66683830070384,0.285093443431509,-5.84663849382522,5.01605967181707e-09,1.86246295614568e-05
"FCGR1A",233.696297932075,-2.03856437022209,0.355943847164539,-5.72720777859027,1.02097093233774e-08,3.03269205741601e-05
"IGLV3-19",6588.87014149163,7.7602474184419,1.40785513432206,5.51210648685014,3.54564281380684e-08,8.77664784510986e-05
"SYK",391.084433215653,-1.2257081179161,0.235913785706136,-5.19557648675473,2.04086402424641e-07,0.000433013035544395
"OASL",2700.00514784174,1.01284873815542,0.196577044061971,5.15242633232456,2.57137640178111e-07,0.000477376028990663
"NUDT16",304.098434614282,-1.53777453208757,0.309435920186802,-4.96960576250888,6.70891688219483e-07,0.00109556297503025
"IGHV3-72",3617.71148919299,12.7515702328715,2.57546155203571,4.95117864321924,7.37653497865778e-07,0.00109556297503025
"ADAP2",305.016229600612,-1.76370763131429,0.363198757482695,-4.85603982661841,1.19756625199534e-06,0.00161693217951225
"IGKV1D-13",19.3431478507713,-5.44250731356485,1.13500643016037,-4.79513346263234,1.62566561380727e-06,0.001927361661029
"IL9R",133.416067528666,2.03219786566442,0.42446213021114,4.78770123651206,1.68702542373936e-06,0.001927361661029
"KRT5",46.8104355358894,2.71247104262822,0.572127912056036,4.74102204327089,2.12642793294273e-06,0.00225583626143324
"TNFSF18",30.8595676447737,-3.82000065291115,0.82375818515519,-4.6372840012406,3.53017207758361e-06,0.00340542062398791
"MERTK",130.699393429885,-2.06286201559423,0.445607787451409,-4.62932218351137,3.66864597251592e-06,0.00340542062398791
"TRBV28",710.951982660788,1.7251041489226,0.375667115490567,4.59210848591276,4.38790157065659e-06,0.00370571310844195
"MNDA",406.664993452456,-1.84636291978123,0.402498625084032,-4.58725273756091,4.49116859358706e-06,0.00370571310844195
"GATD3B",252.704694938242,-1.20830265130827,0.265899727516746,-4.54420417272586,5.5143189545862e-06,0.00431045605860601
"SGK1",4300.16305880727,-1.15424048053218,0.258789598530925,-4.46015020342576,8.19022322463801e-06,0.00608205976661619
"TRBV7-9",1080.47162759277,0.963966384670014,0.216824677868401,4.4458333532269,8.75518004217325e-06,0.00619199685649319
"CPM",527.9005545517,-2.00278589695083,0.454908344348953,-4.40261411299707,1.06954301835406e-05,0.00722038768572477
"ITGA1",380.305120986711,2.56616833447447,0.586058141123514,4.37869241020173,1.19393502884757e-05,0.0077097056732366
"FPR1",277.782736555145,-1.94554703319178,0.445515005782447,-4.36696184851251,1.25986723311611e-05,0.00779647839426686
"TRBV18",315.502047725979,1.40714634235081,0.329005731222754,4.2769660489534,1.89457683590197e-05,0.0112553020667264
"CD300LF",52.2887524059257,-2.04259913206191,0.482716124815279,-4.23147068651073,2.32168255539161e-05,0.0132621651202601
"RASSF4",404.098222385298,-1.58621123250059,0.378285633215203,-4.19315748002044,2.75098324949776e-05,0.0151324456376077
"SIGLEC7",116.861251274455,-2.4094976921246,0.582546613129078,-4.13614573979287,3.5318792561264e-05,0.0187340966828533
"SLC46A1",36.8107919162186,-2.2777629720808,0.552130593164986,-4.125406199689,3.70080994705277e-05,0.0189532514943544
"CLEC12A",151.596167779953,-1.56622651302299,0.382061366870336,-4.09941085080851,4.14203178156275e-05,0.0205058186732566
"ADORA3",16.7747503482006,-3.41571010383474,0.838492170980948,-4.0736338657029,4.62852271480048e-05,0.0215346145377913
"AGTRAP",369.850398335158,-1.05857041982712,0.25989524109416,-4.07306580670939,4.63983076494291e-05,0.0215346145377913
"TRBV9",586.072656244106,1.29855988770921,0.324339404832734,4.00370682180568,6.23576356866979e-05,0.0271982193891969
"KLF4",1696.01286792423,-1.66717084380007,0.416514890390714,-4.00266804924112,6.26321503969192e-05,0.0271982193891969
"LINC01115",42.3464343561056,5.68319011316906,1.42179116752009,3.99720454240952,6.40949150701515e-05,0.0271982193891969
"TRBV6-6",237.83668557807,1.18011493865221,0.296210080473808,3.98404718963154,6.77514096665046e-05,0.0279512204546369
"HLA-DRB5",6806.12774797987,-3.58206277124106,0.906851725217188,-3.94999829810453,7.81517488881266e-05,0.0313705344455799
"AC097105.1",28.2607077795084,-2.29615760032145,0.583648700896929,-3.93414325568241,8.34939768822452e-05,0.0323112821147143
"LRRC25",122.895019645885,-2.01748568394102,0.513318374323372,-3.93028144881888,8.48464854884096e-05,0.0323112821147143
"LIF",46.917692732065,-1.84352789375069,0.472615748638914,-3.90069078116814,9.59186025052103e-05,0.0350212463102957
