k,resolution,n_clusters,mean_silhouette
100,0.1,8,-0.00690382269057945
100,0.2,12,0.0447174616207523
100,0.3,13,0.0441913545779927
100,0.4,15,0.0352460498279305
100,0.5,18,0.0581859551108342
10,0.1,11,0.0266579142530448
10,0.2,15,0.0162832068385172
10,0.3,18,0.0487571432474059
10,0.4,21,0.0218092178475982
10,0.5,24,0.0307032144879039
10,0.6,29,0.0188448386515538
15,0.1,9,0.0444577729731225
15,0.2,12,0.0321715385979986
15,0.3,14,0.0284254576848912
15,0.4,17,0.0802243789339865
15,0.5,18,0.049300117839688
15,0.6,20,0.0549911380256078
20,0.1,9,0.0437614683570893
20,0.2,13,0.0145168594545133
20,0.3,15,0.0406487093382681
20,0.4,18,0.0389203622294663
20,0.5,19,0.0511969073947899
20,0.6,23,0.057361748482952
25,0.1,11,0.0223818665185989
25,0.2,13,0.0530447086015269
25,0.3,17,0.020816198307551
25,0.4,18,0.0389754240274415
25,0.5,20,0.0448327554385748
25,0.6,24,0.0413990053558945
30,0.1,9,0.0381968783610166
30,0.2,12,0.0455084739705079
30,0.3,15,0.0477621191856246
30,0.4,17,0.0330237708359336
30,0.5,18,0.0492499119207265
30,0.6,19,0.0535974303018064
35,0.1,9,0.0387626999707802
35,0.2,12,0.042148387471209
35,0.3,14,0.0276263423084436
35,0.4,18,0.0422901602578571
35,0.5,19,0.054808178971998
40,0.1,10,0.00276424903207126
40,0.2,12,0.0296344856279962
40,0.3,14,0.0324801891234002
40,0.4,16,0.0188893446390786
40,0.5,18,0.0493647744376648
50,0.1,9,0.027499333737681
50,0.2,13,0.0470279888469365
50,0.3,15,0.0120025512534297
50,0.4,17,0.0322780186094001
50,0.5,18,0.0497702097095812
60,0.1,9,0.00625848413053729
60,0.2,13,0.0541525840435783
60,0.3,14,0.0546328544366359
60,0.4,16,0.0215841170426733
60,0.5,18,0.0499575764194777
70,0.1,9,0.00339248438727183
70,0.2,12,0.0444660656886406
70,0.3,13,0.042329091822664
70,0.4,16,0.0241231520005515
70,0.5,17,0.0412975935018396
"k","resolution","n_clusters","mean_silhouette"
